title,Author,lenght
1. It Ends with Us,De: Colleen Hoover,Duración: 11 h y 11 m
2. Hillbilly Elegy,De: J. D. Vance,Duración: 6 h y 49 m
3. The Women,De: Kristin Hannah,Duración: 14 h y 57 m
4. Atomic Habits,De: James Clear,Duración: 5 h y 35 m
5. Four Minutes,"De: Jeffrey Wilson, Brian Andrews",Duración: 10 h y 53 m
6. He Who Fights with Monsters 11: A LitRPG Adventure,"De: Shirtaloon, Travis Deverell",Duración: 26 h y 19 m
7. The Housemaid,De: Freida McFadden,Duración: 9 h y 46 m
8. The Anxious Generation,De: Jonathan Haidt,Duración: 10 h y 32 m
9. A Court of Mist and Fury,De: Sarah J. Maas,Duración: 23 h y 16 m
10. Mark of the Fool 6,De: J.M. Clarke,Duración: 23 h y 3 m
11. All in the Family,De: Fred C. Trump III,Duración: 10 h y 18 m
12. All the Colors of the Dark,De: Chris Whitaker,Duración: 14 h y 37 m
13. It Starts with Us,De: Colleen Hoover,Duración: 8 h y 41 m
14. The God of the Woods,De: Liz Moore,Duración: 14 h y 35 m
15. A Court of Wings and Ruin,De: Sarah J. Maas,Duración: 25 h y 9 m
16. First Lie Wins,De: Ashley Elston,Duración: 9 h y 16 m
17. Eruption,"De: Michael Crichton, James Patterson",Duración: 10 h y 32 m
18. The Briar Club,De: Kate Quinn,Duración: 15 h y 3 m
19. Supercommunicators,De: Charles Duhigg,Duración: 7 h y 28 m
20. The Housemaid Is Watching,De: Freida McFadden,Duración: 11 h y 42 m
21. Project Hail Mary,De: Andy Weir,Duración: 16 h y 10 m
22. All My Secrets,De: Lynn Austin,Duración: 12 h y 37 m
23. Fourth Wing,De: Rebecca Yarros,Duración: 21 h y 22 m
24. You Like It Darker,De: Stephen King,Duración: 20 h y 21 m
25. Funny Story,De: Emily Henry,Duración: 11 h y 23 m
26. The Housemaid's Secret,De: Freida McFadden,Duración: 9 h y 44 m
27. A Court of Silver Flames,De: Sarah J. Maas,Duración: 26 h y 5 m
28. House of Flame and Shadow,De: Sarah J. Maas,Duración: 29 h y 42 m
29. Listen for the Lie,De: Amy Tintera,Duración: 9 h y 18 m
30. Iron Flame,De: Rebecca Yarros,Duración: 28 h y 16 m
31. Throne of Glass,De: Sarah J. Maas,Duración: 13 h y 3 m
32. A Game of Thrones,De: George R.R. Martin,Duración: 33 h y 46 m
33. The Last Mrs. Parrish,De: Liv Constantine,Duración: 12 h
34. The Nightingale,De: Kristin Hannah,Duración: 17 h y 19 m
35. Fire & Blood (HBO Tie-in Edition),De: George R. R. Martin,Duración: 26 h y 24 m
36. Queen of Shadows,De: Sarah J. Maas,Duración: 20 h y 43 m
37. Just for the Summer,De: Abby Jimenez,Duración: 11 h y 43 m
38. The Subtle Art of Not Giving a F*ck,De: Mark Manson,Duración: 5 h y 17 m
39. The Psychology of Money,De: Morgan Housel,Duración: 5 h y 55 m
40. Heir of Fire,De: Sarah J. Maas,Duración: 17 h y 56 m
41. Crown of Midnight,De: Sarah J. Maas,Duración: 12 h y 43 m
