title,author,length
Freaky Ways,Amanda M. Lee,Duración: 8 h y 43 m
Broken,Sadie Kincaid,Duración: 10 h y 6 m
The Secret Hook-Up,Pippa Grant,Duración: 7 h y 56 m
Mark of the Fool 6,J.M. Clarke,Duración: 23 h y 3 m
Quicksilver,Callie Hart,Duración: 21 h y 51 m
A Lady of Conscience,Mimi Matthews,Duración: 5 h
Amethysts & Alchemy,Rachel Rener,Duración: 9 h y 29 m
The Dragon's Prophecy,Jonathan Cahn,Duración: Aún no se conoce
Task Force Hammer,Craig Alanson,Duración: 21 h y 40 m
Martial TransFusion,Jonathan Brooks,Duración: 20 h y 3 m
Start Menu: New Game,Kos Play,Duración: 20 h y 19 m
Mage Assassins & Other Misfits,"Annette Marie,Rob Jacobsen",Duración: 7 h y 40 m
Penric and the Bandit,Lois McMaster Bujold,Duración: 4 h y 4 m
Never Have I Ever,S.L. Scott,Duración: 9 h y 56 m
Rogue Strike,Jack Mars,Duración: 8 h y 3 m
A Many-Threaded Tapestry,Olan Thorensen,Duración: 24 h y 11 m
Cher,Cher,Duración: 12 h
A Little Jaded,Kelsie Rae,Duración: 12 h y 58 m
The Trouble with Love,Christina C Jones,Duración: 7 h y 8 m
Nosferatu Academy Omnibus,Virgil Knightley,Duración: 35 h y 30 m
Space Hunter War: The Complete Series,"Rick Partlow,Pacey Holden",Duración: 53 h y 7 m
House of Sky and Breath (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Duración: 12 h
Our Little Secret,Q.B. Tyler,Duración: 9 h y 44 m
Resistance,Sean Oswald,Duración: 16 h y 40 m
A Vampire Called Leander,Michelle Frost,Duración: 1 h y 42 m
The Kept Girls,Elle Gray,Duración: 7 h y 28 m
Drumindor,Michael J. Sullivan,Duración: 12 h y 45 m
The Immortal's Guide to Supervillainy Omnibus Edition,M.E. Thorne,Duración: 37 h y 48 m
From The Wizarding Archive,"J.K. Rowling,Evanna Lynch - foreword",Duración: Aún no se conoce
Dig Two Graves,Craig Schaefer,Duración: 10 h y 1 m
Practical Adept,Terry Mancour,Duración: 32 h y 57 m
Imminent,Luis Elizondo,Duración: 10 h
Dungeon Life 3: An Isekai LitRPG,Khenal,Duración: 20 h y 41 m
Possessive Park Avenue Prince,"Brooke Blaine,Ella Frank",Duración: 8 h y 56 m
"Super Strikers: Ronaldo, Messi, Neymar, Mbappe, Haaland",Zach Rosenthal,Duración: 3 h y 14 m
Baskets and Beignets,Jana DeLeon,Duración: 9 h y 39 m
Taming of the Brew,Lily Harper Hart,Duración: 7 h y 3 m
Forgotten Girls,D.K. Hood,Duración: 8 h y 46 m
Catch a Kiwi,Rosalind James,Duración: 15 h y 47 m
The Shadow Rising,Robert Jordan,Duración: 40 h y 31 m
Shameless,Brian Tyler Cohen,Duración: 4 h y 38 m
"It's Not You, It's Your Energy",Danielle Ingenito,Duración: 3 h y 17 m
The Bookstore Wedding,Alice Hoffman,Duración: 1 h y 11 m
Till Death Do Us Part,Aleatha Romig,Duración: 8 h y 51 m
Cosmic Progeny 3,A.V. Ray,Duración: 11 h y 32 m
Access Super Consciousness,RJ Spina,Duración: 7 h y 45 m
Nameless Sovereign,Nameless Author,Duración: 21 h y 26 m
Protocols,Andrew D. Huberman Ph.D.,Duración: 10 h
The Art of Power,Nancy Pelosi,Duración: 10 h y 45 m
Never Never,"Colleen Hoover,Tarryn Fisher",Duración: 9 h y 48 m
Double Blast,Gretchen Archer,Duración: 10 h y 8 m
Cold Calling Sucks (and That's Why It Works),"Armand Farrokh,Nick Cegelski",Duración: 4 h y 9 m
Embers in the Snow,Anna Carven,Duración: 15 h y 1 m
Anchored in Resilience,Amaury Ponciano,Duración: 5 h y 10 m
The Empress of Beasts,pirateaba,Duración: 30 h y 29 m
Never,Jessa Hastings,Duración: 12 h y 13 m
Prepper: Book 5,Tom Abrahams,Duración: 8 h y 2 m
Darling of Fate 2,Sean Dunning,Duración: 15 h y 17 m
Assassin,Alexander Olson,Duración: 16 h y 23 m
Close Quarter,Anna Zabo,Duración: 8 h y 1 m
Onyx Storm,Rebecca Yarros,Duración: 14 h y 15 m
The Gentleman,Dianna Roman,Duración: 10 h y 32 m
The Primal Hunter 9: A LitRPG Adventure,Zogarth,Duración: 20 h y 23 m
"MeatEater's Campfire Stories: Discoveries, Revelations & Near Misses","Steven Rinella,Clay Newcomb,Brent Reaves,Buck Bowden,John Hayes,Mike Kunz,Bob Service,Chris Williams,Jeff Jones,Jim Swenson,Mike Carey,Chad Martin,Chad Johnston,Ryan Murray",Duración: 5 h y 5 m
"Catherine, the Princess of Wales",Robert Jobson,Duración: 8 h y 53 m
Will Leave the Galaxy for Good,Yahtzee Croshaw,Duración: 9 h y 50 m
"Heretical Fishing 3: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,Duración: 17 h y 46 m
Last Day of the Immortal,Kirill Klevanski,Duración: 16 h y 6 m
"Raiders, Rulers, and Traders",David Chaffetz,Duración: 13 h y 56 m
Hell Divers XII: Heroes,Nicholas Sansbury Smith,Duración: 13 h y 17 m
Nothing Is Wasted,Davey Blackburn,Duración: 10 h y 13 m
Sunrise on the Reaping,Suzanne Collins,Duración: Aún no se conoce
Wind and Truth,Brandon Sanderson,Duración: 55 h
The Tenth Muse,A. F. Kay,Duración: 12 h y 5 m
Row the Boat,"Jon Gordon,P. J. Fleck",Duración: 2 h y 18 m
Bloody Cruel Monster,Lucy Smoke,Duración: 14 h y 44 m
Rebel,"Richard Fox,David Weber",Duración: 19 h y 14 m
Firestorm,"Susan May Warren,Lisa Phillips",Duración: 4 h y 40 m
Day Trading for Beginners,A.Z Penn,Duración: 6 h y 19 m
Paved in Venom,Sonja Grey,Duración: 10 h y 33 m
We Who Wrestle with God,Jordan B. Peterson,Duración: 13 h
The Undead: Part 22,R.R. Haywood,Duración: 5 h y 27 m
Guardians of the West,David Eddings,Duración: 13 h y 55 m
Mr. Churchill in the White House,Robert Schmuhl,Duración: 13 h y 46 m
Beware of Chicken 4: A Xianxia Cultivation Novel,Casualfarmer,Duración: 30 h y 8 m
The Hedge Wizard 4,Alex Maher,Duración: 28 h y 11 m
Play Along,Liz Tomforde,Duración: 12 h y 32 m
Into the Uncertain,"James Rosone,Miranda Watson",Duración: 13 h y 42 m
Get In!,Mark Goldbridge,Duración: 7 h y 28 m
Tom Clancy Defense Protocol,"Brian Andrews,Jeffrey Wilson",Duración: 15 h
Scythe & Sparrow,Brynne Weaver,Duración: Aún no se conoce
Revenge for Now,Bob Howard,Duración: 13 h
Mercer,Grey Huffington,Duración: 9 h y 36 m
Love Me or Leave Me Alone,K.C. Mills,Duración: 16 h y 33 m
Collapse,Sean Oswald,Duración: 12 h y 51 m
Bloody Cruel Psycho,Lucy Smoke,Duración: 12 h y 6 m
The Wicked Aftermath: Tank Wicked,Melissa Foster,Duración: 9 h y 48 m
Setting Boundaries Made Simple,Charmaine Glass Davis,Duración: 4 h y 5 m
A Post-Truth World,Ken Wilber,Duración: 6 h y 38 m
Zeus: Water Rescue,W. Bruce Cameron,Duración: 5 h y 54 m
"College Girl, Missing",Shawn Cohen,Duración: 4 h y 57 m
The Nurse's Lie,Daniel Hurst,Duración: 7 h y 58 m
The Movement,Clara Bingham,Duración: 17 h y 19 m
Frames of Mind,Howard E. Gardner,Duración: 19 h y 30 m
Savage Awakening 2,Adastra339,Duración: 21 h y 52 m
Voracious,James T. Callum,Duración: 16 h y 34 m
Get Your Life Back,Dr. Ron Daulton Jr.,Duración: 3 h y 24 m
By Any Other Name,Jodi Picoult,Duración: 15 h
Targeted: Beirut,"Jack Carr,James M. Scott",Duración: 13 h
A Dawn with the Wolf Knight,Elise Kova,Duración: 14 h y 22 m
The Eldritch Artisan,Aaron Renfroe,Duración: 14 h y 40 m
Gathering Mist,Margaret Mizushima,Duración: 8 h y 20 m
The Definition of Beautiful,Charlotte Bellows,Duración: 4 h y 54 m
Master Class 4,"Virgil Knightley,Annabelle Hawthorne",Duración: 11 h y 12 m
Take Her,Cassie Alexander,Duración: 9 h y 56 m
Nexus,Yuval Noah Harari,Duración: 17 h y 28 m
Born of Blood and Ash,Jennifer L. Armentrout,Duración: 37 h y 1 m
Renewal After Dark,Marie Force,Duración: 10 h y 52 m
The Caretaker,C.P. Harris,Duración: 8 h y 17 m
The Mercy of Gods,James S.A. Corey,Duración: 14 h y 54 m
What Have You Done?,Shari Lapena,Duración: 8 h y 49 m
Adulting Made Simple: From Basics to Beyond,K.A. Brooks,Duración: 4 h y 6 m
Slow Dance,Rainbow Rowell,Duración: 11 h y 31 m
Fall with Me,Becka Mack,Duración: 15 h y 45 m
Back in the Saddle,Kristen Ashley,Duración: Aún no se conoce
Meant for Love,Natasha Madison,Duración: 8 h y 19 m
The Butcher Game,Alaina Urquhart,Duración: Aún no se conoce
All in the Family,Fred C. Trump III,Duración: 10 h y 18 m
"The Marriage Auction 2, Book Four",Audrey Carlan,Duración: 9 h y 55 m
Tom Clancy Shadow State,M.P. Woodward,Duración: 10 h y 57 m
In Too Deep,"Lee Child,Andrew Child",Duración: 10 h
The Haar,David Sodergren,Duración: 6 h y 56 m
All the Skills 4: A Deck-Building LitRPG,Honour Rae,Duración: 14 h y 26 m
Sanctuary,Ilona Andrews,Duración: 4 h y 27 m
El Sutil arte de que te importe un caraj* [The Subtle Art of Not Giving a F*ck],Mark Manson,Duración: 6 h y 7 m
To Die For,David Baldacci,Duración: 12 h
The Mirror,Nora Roberts,Duración: 14 h y 24 m
The Songbird and the Heart of Stone,Carissa Broadbent,Duración: 15 h y 33 m
Clean Finish,Lily Mayne,Duración: 13 h y 35 m
Saturation Point,Adrian Tchaikovsky,Duración: 4 h y 44 m
Friends with Secrets,Christine Gunderson,Duración: 12 h y 19 m
Kulti,Mariana Zapata,Duración: 17 h y 18 m
"My Secret Portal to a Fantasy World, Book 3",D. Levesque,Duración: 10 h y 4 m
On the Edge,Nate Silver,Duración: 15 h y 5 m
Confronting the Presidents,"Bill O'Reilly,Martin Dugard",Duración: 16 h y 26 m
So This Is War,Meghan Quinn,Duración: 13 h y 45 m
Centurion,Kris Michaels,Duración: 6 h y 33 m
Lelith Hesperax: Queen of Knives,Mike Brooks,Duración: 5 h y 59 m
The Grey Wolf,Louise Penny,Duración: 12 h y 51 m
Love After Midnight,Sister Souljah,Duración: 13 h
Impact Winter Season 3,Travis Beacham,Duración: 7 h y 33 m
Pick One,May Archer,Duración: 2 h y 54 m
Grizzly Killer,Lane R Warenski,Duración: 7 h y 52 m
Angel of Vengeance,"Douglas Preston,Lincoln Child",Duración: 10 h y 55 m
Loud,Drew Afualo,Duración: 6 h y 33 m
The Waiting,Michael Connelly,Duración: 12 h
The Atma Male: An Ancient Model of Success in a Postmodern World,Christopher Stubbs,Duración: 2 h y 40 m
"So I'm a Spider, So What?, Vol. 10","Okina Baba,Jenny McKeon - translator",Duración: 7 h y 43 m
Capture or Kill,"Vince Flynn,Don Bentley",Duración: 12 h
Mr Nice Guy,Isla Olsen,Duración: 8 h y 11 m
Saintess Summons Skeletons 2,Mornn,Duración: 22 h y 53 m
Enemy Within,Devon C. Ford,Duración: 10 h y 15 m
Murder at the White Palace,Allison Montclair,Duración: 10 h y 22 m
Lost Code,Matt Coleman,Duración: 14 h y 25 m
Challenger,Seth Ring,Duración: 14 h
Tongue-Tied,Christina Lee,Duración: 6 h y 35 m
This Is Why We Lied,Karin Slaughter,Duración: 18 h y 6 m
Speaker of Tongues,Chris Tullbane,Duración: 28 h y 40 m
The History of the Ancient World,Susan Wise Bauer,Duración: 26 h y 20 m
Passions in Death: An Eve Dallas Novel,J. D. Robb,Duración: 13 h y 54 m
Frisco,Tijan,Duración: 11 h y 36 m
Doorways in the Sand,Roger Zelazny,Duración: 7 h y 44 m
